序号,入站通道,消息前缀,解析说明,解析规律,参数含义,当前返回信息,后端用途待确认,后端发出格式
1,QT_Confirm,(N/A),data.msgid 与发送时一致，用于 handleMessageResponse,无 data.message 业务串；仅读取 data.msgid 与 sentMessages 配对。,msgid：对应此前浏览器发出的带业务 message 的请求，表示 Hub 已收到。,仅回执 msgid，无 data.message 业务载荷,,"{""type"":""QT_Confirm"",""msgid"":""...""}"
2,Process_Command,qtServerIsOver,parts[0],parts = data.message.split(':'); 判断 parts[0]==='qtServerIsOver'；后续段 join。,parts[0]: 子类型关键字；parts[1..]: 可选崩溃/冻结原因文本。,子类型 qtServerIsOver 及可选崩溃/冻结原因文本,,Process_Command message: qtServerIsOver:...
3,Process_Command,checkHasNewUpdatePack,parts[1] 为版本号,parts.length>=2 时 parts[1] 为版本字符串；勿将版本号中的 '.' 误拆为分段语义。,parts[1]: 服务端发现的可更新包版本号，用于弹窗与 updateCurrentClient。,可更新包版本号（用于弹窗与更新逻辑）,,checkHasNewUpdatePack:<version>
4,Process_Command,No_update_pack_found,无参数,仅 parts[0] 匹配，无后续业务段。,无附加参数。,无后续业务段，仅表示未发现更新包,,No_update_pack_found
5,Process_Command,update_progress | update_error | update_success,整段 message 转发 $bus,parts[0] 为子命令名；其后若含 ':' 用 parts.slice(1).join(':')；整串可再传给 OTA UI 解析。,update_progress：进度与展示文案；update_error：错误码与描述；update_success：成功状态与描述（均以 Process 拼接为准）。,OTA 进度、错误或成功相关的整段 payload（可再经 OTA UI 解析）,,update_*:<payload>
6,Process_Command,update_sequence_start | update_sequence_step | update_sequence_finished | update_sequence_failed,整段 message 转发 $bus,同上用 ':' 拆首段为子命令；后续段按顺序更新对话框逐步解析。,分步更新：总步数、当前步、版本标签或失败序号等（见 quarcsmonitor 与 UpdateProgressDialog）。,分步更新各阶段 payload（总步/当前步/版本或失败信息等）,,update_sequence_*:<payload>
7,Process_Command,testQtServerProcess,当前为空处理,无解析。,无。,无业务载荷（case 内空处理）,,testQtServerProcess
8,QT_Return_special_prefix,NetStatus|,在 switch 前处理，格式: JSON,① startsWith('NetStatus|')。② payload = message.substring('NetStatus|'.length)。③ JSON.parse(payload)。,JSON：各键表示网络/接口状态；以运行时为准。,网络状态（WiFi/ZeroTier 等）,,QT_Return message: NetStatus|...
9,QT_Return_special_prefix,WiFiScan|,在 switch 前处理，格式: JSON 数组,startsWith('WiFiScan|') 后子串 JSON.parse 为数组。,数组元素：AP 信息（SSID 等）。,扫描到的 WiFi 列表,,QT_Return message: WiFiScan|...
10,QT_Return_special_prefix,WiFiSaveResult|,在 switch 前处理，格式: 管道分段,按 '|' split（非 ':'）：段1=action，段2=result，段3+=detail。,action/result/detail：保存配置的操作与结果说明。,保存 WiFi 配置结果,,QT_Return message: WiFiSaveResult|...
11,QT_Return_special_prefix,NetModeResult|,在 switch 前处理，格式: 管道分段,按 '|' split：mode / result / detail。,mode：ap|wan 等；result/detail：切换是否成功及说明。,AP/WAN 模式切换结果,,QT_Return message: NetModeResult|...
12,QT_Return_special_prefix,StagingScheduleData:,在 switch 前处理，格式: 字符串,startsWith('StagingScheduleData:'); 首冒号后可能仍含 ':'，按 App.vue 取子串。,定标/计划表原始文本载荷。,定标计划数据,,QT_Return message: StagingScheduleData:...
13,QT_Return_special_prefix,SendDebugMessage|,在 switch 前处理，格式: type|message,按 '|' 拆为 type 与 message 段。,type：类别；message：调试文本。,调试消息,,QT_Return message: SendDebugMessage|...
14,QT_Return_special_prefix,DownloadManifest:,在 switch 前处理，格式: JSON,indexOf(':') 后整段为 JSON（因 JSON 内含 ':'）。,JSON：文件列表、总大小等；失败时见 App.vue 错误对象约定。,下载清单,,QT_Return message: DownloadManifest:...
15,QT_Return_switch,AddDriver,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AddDriver」。,"parts[0]: 与 Qt 约定的下行关键字「AddDriver」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：创建一个驱动对象。 代码摘要：if (parts.length === 3) { const label = parts[1]; const value = parts[2]; const type = this.CurrentDriverType; // 创建一个驱动对象 const driver = { type, label, value }; // if (type === 'MainCamera' && label === ""QHY CCD2"") { // break; // } // i...",创建一个驱动对象,,QT_Return message 建议: AddDriver:...
16,QT_Return_switch,AddDevice,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「AddDevice」。,"parts[0]: 与 Qt 约定的下行关键字「AddDevice」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 case 首行注释：const value = parts[2];。 代码摘要：if (parts.length === 2) { const label = parts[1]; console.log('QHYCCD | AddDevice: ', label); // const value = parts[2]; const type = this.confirmDriverType; // 创建一个驱动对象 const device = { type, label, label }; console.log('QHYCCD | AddDev...",向下游抛出 $bus 事件: add-device；const value = parts[2];,,QT_Return message 建议: AddDevice:...
17,QT_Return_switch,updateDevices_,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「updateDevices_」。,"parts[0]: 与 Qt 约定的下行关键字「updateDevices_」。parts[1] 及之后：以 App.vue 该 case 内对 parts 的解析为准。 代码摘要：if (parts.length === 3) { const ListNum = parts[1]; const name = parts[2]; this.updateDevices_(ListNum, name); } break;",见参数含义列及 App.vue case 内赋值/$bus,,QT_Return message 建议: updateDevices_:...
18,QT_Return_switch,ConnectSuccess,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ConnectSuccess」。,parts[1] 起：设备连接成功相关字段（设备名/类型等）。,parts[1] 起：设备连接成功相关字段（设备名/类型等）。,,QT_Return message 建议: ConnectSuccess:...
19,QT_Return_switch,ConnectFailed,parts[0] 为命令名；部分消息含额外 ':' 需 slice 拼接,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。 当前 case：「ConnectFailed」。,parts[1] 起：连接失败原因。,parts[1] 起：连接失败原因。,,QT_Return message 建议: ConnectFailed:...
