序号,传输类型,信封类型,信号名,方向,线上格式,载荷结构,字段约束,前置条件,成功响应,错误响应,状态副作用,兼容状态,权威来源,前端消费路径,解析规律,参数含义,风险等级,备注
1,websocket_text_json,meta,(envelope),bidirectional,单帧 UTF-8 文本；内容为 JSON 对象，至少含 type、msgid；业务载荷在 message 字符串字段。,"{""type"":string,""msgid"":string,""message""?:string,...}",type 决定路由；Vue_Command/Process_Command_Return 等会触发 QT_Confirm（仅 msgid 回执）。,WebSocket 已连接；HTTPS/HTTP 双通道由 Qt WebSocketClient 实现。,依 type：QT_Confirm 仅表示 Hub 已收到；业务结果在 QT_Return/Process_Command 的 message。,连接断开、JSON 解析失败、未处理 type 时由各端日志处理。,无全局业务状态；仅连接状态 UI。,stable,QUARCS_QT-SeverProgram/src/websocketclient.cpp; apps/web-frontend/src/App.vue sendMessage/onmessage,App.vue websocket.onmessage,① JSON.parse(文本帧)。② 读顶层 type、msgid；业务串在 message（若有）。③ 再按 type 进入分支。,type：路由键。msgid：与发送队列配对。message：业务载荷（部分 type 无）。,high,实现替代前端时必须先实现 JSON 信封与 msgid 追踪。
2,websocket_text_json,Vue_Command,Vue_Command,browser_to_hub,"{""type"":""Vue_Command"",""msgid"":""..."",""message"":""<command string>""}",message 为纯文本命令；多数为冒号分隔段 parts[0] 为命令名。,同一命令短时重复整串可能被 Qt 防抖丢弃（MainWindow）。,Qt Server 已连接并路由到 MainWindow::onMessageReceived。,QT_Confirm + 异步多条 QT_Return（无固定一一映射）。,Unknown message 日志；部分命令返回 ErrorMessage: 前缀字符串。,设备/拍摄/导星等状态由具体命令决定。,stable,QUARCS_QT-SeverProgram/src/mainwindow.cpp::onMessageReceived,"App.vue sendMessage('Vue_Command', ...)",不适用（浏览器→Hub 上行；本行描述 Hub 侧如何读入见 Qt MainWindow）。,message 串多为「命令:参数…」；与下行 QT_Return 解析无关。,high,勿假设 message 仅用 split(':')；见 wifiSaveB64|、saveSchedulePreset、MountGoto 等变体。
3,websocket_text_json,QT_Return,QT_Return,hub_to_browser,"{""type"":""QT_Return"",""message"":""<payload string>""}",message 内再分：管道 NetStatus|JSON、或冒号分段、或首段为 case 名。,JSON 载荷若含 ':' 必须在 switch 前用 startsWith 特判（见 App.vue）。,Qt 侧 messageSend 封装为 QT_Return。,前端 switch(messageType) 或特殊前缀处理。,未命中 case 走 default 控制台 warn。,$bus 事件与组件状态更新。,stable,apps/web-frontend/src/App.vue QT_Return 分支,App.vue onmessage -> QT_Return,① 先经 switch 前 startsWith 特判（NetStatus|、DownloadManifest: 等），勿对整段盲目 split(':')。② 进入 switch(messageType) 后常写：parts=data.message.split(':'); messageType=parts[0]。③ 若业务串需保留 ':'，在 case 内用 parts.slice(1).join(':') 或 indexOf/substring。,data.message 整段为业务串；先特判前缀再 switch；各子类型见本表每条 QT_Return 行的「解析规律/参数含义」。,high,message 与 data.message 全文一致；parts 仅用于非 JSON 嵌套场景。
4,websocket_text_json,QT_Confirm,QT_Confirm,hub_to_browser,"{""type"":""QT_Confirm"",""msgid"":""...""}",无业务 message；msgid 对应发送时的投递确认。,与 sentMessages 队列、handleMessageResponse 配对。,此前已发送带 msgid 的 Vue_Command 等。,handleMessageResponse 标记成功。,超时策略见前端实现。,更新消息发送状态 UI/日志。,stable,apps/web-frontend/src/App.vue,handleMessageResponse,无 message 业务串；仅比对 data.msgid 与 sentMessages。,msgid：与此前 sendMessage 生成的 id 对应，表示 Hub 已收到该帧。,normal,
5,websocket_text_json,Process_Command,Process_Command,process_to_browser,"{""type"":""Process_Command"",""message"":""<payload>""}",message 多为冒号分段，parts[0] 为子类型。,与 QUARCS_Process WebSocketClient::messageSend 一致。,QuarcsMonitor 存活并已连接 Hub。,App.vue 内分支或 $bus 转发。,update_error / update_failed 等；未处理前缀会 console.warn。,OTA 对话框、重启提示等。,stable,QUARCS_Process/src/quarcsmonitor.cpp,App.vue Process_Command 分支,parts = data.message.split(':'); 以 parts[0] 为子命令；载荷含额外 ':' 时用 slice/join。,parts[0]：宿主子类型（qtServerIsOver、update_* 等）；后续段含义见本表 Process_Command 展开行。,high,含 OTA：update_progress/update_error/update_success/update_sequence_*；另有 update_failed（脚本退出码）。
6,websocket_text_json,Process_Command_Return,Process_Command_Return,browser_to_hub,"{""type"":""Process_Command_Return"",""msgid"":""..."",""message"":""<payload>""}",Hub 将 message 转给 Process；Process 仅解析 message 字符串。,Process 侧对整段 split(':')；语义化版本若含 '.' 可能被拆段（VueClientVersion 需注意）。,宿主进程 WebSocket 已连接。,无统一回包；副作用为重启/更新流程。,,重启 Qt、顺序更新、版本检查。,stable,QUARCS_Process/src/quarcsmonitor.cpp::receivedMessage,"App.vue AppSendMessage / sendMessage(..., Process_Command_Return)",不适用（浏览器上行到 Hub→Process；下行解析见 quarcsmonitor）。,message 串由 Process 按 messageList[0] 等规则解析；非浏览器解析焦点。,high,ServerInitSuccess、restartQtServer、VueClientVersion、updateCurrentClient、ForceUpdate 等见专用行。
7,websocket_text_json,Broadcast_Msg,Broadcast_Msg,browser_to_hub,"{""type"":""Broadcast_Msg"",""message"":""CloseWebView""}",依宿主实现；未必进入 MainWindow。,,,,,壳层关闭 WebView 等。,implementation_defined,宿主/嵌入环境,"sendMessage('Broadcast_Msg',...)",不适用（浏览器上行）。,message 如 CloseWebView；由宿主消费。,normal,
8,websocket_text_json,meta,(high_risk_domain_checklist),n/a,n/a,OTA | NetStatus/WiFi/NetMode | DownloadManifest | AutoFocus | PolarAlignment | Guider | Meridian/Flip | Exposure/Live,实现替代前端时按域逐条对照本表 risk_tier=high 行,已读信封层与 QT_Return 特判前缀行,各域 $bus/UI 行为与现网一致,default 未处理与 JSON 解析失败路径可观测,设备与拍摄状态机不偏离现网,audit,unified-websocket-protocol.csv 筛选 risk_tier=high,App.vue + 各 Panel / $bus 订阅,按域阅读本表「解析规律」列；高风险行 risk_tier=high。,各域参数含义见对应信号行；本行仅为验收索引。,high,核对：Process OTA 全链路；含冒号 JSON 的特判；导星/极轴/解析长流程；赤道仪子午线与翻转。
9,websocket_text_json,QT_Return,NetStatus|,hub_to_browser,message 以 NetStatus| 开头，其后为 JSON；禁止先 split(':')。,"{ wifi?:..., zerotier?:... } 等 JSON 对象，见运行时 payload",JSON.parse(payload)；失败则打日志,App.vue 特判 startsWith,前端 $bus 订阅者处理,JSON 解析失败路径见 App.vue,网络/下载 UI,stable,apps/web-frontend/src/App.vue（QT_Return 前缀分支）,$bus NetStatus,① startsWith('NetStatus|')。② payload = message.substring('NetStatus|'.length)。③ JSON.parse(payload)。禁止先对整段 split(':')。,JSON：网络/WiFi/ZeroTier 等状态键值；键名以运行时 Hub 下发为准。,high,高风险：载荷含 JSON 或与 ':' 冲突，必须先走特判分支。
10,websocket_text_json,QT_Return,WiFiScan|,hub_to_browser,NetStatus| 同类；载荷为 JSON 数组,JSON 数组,JSON.parse,App.vue 特判,前端 $bus 订阅者处理,JSON 解析失败路径见 App.vue,网络/下载 UI,stable,apps/web-frontend/src/App.vue（QT_Return 前缀分支）,$bus WiFiScan,① startsWith('WiFiScan|')。② 其后子串 JSON.parse 为数组。,数组元素：扫描到的 AP（SSID 等字段以实际 JSON 为准）。,high,高风险：载荷含 JSON 或与 ':' 冲突，必须先走特判分支。
11,websocket_text_json,QT_Return,WiFiSaveResult|,hub_to_browser,管道分段：WiFiSaveResult|action|result|detail...,split('|')；action/result/detail,见 App.vue 注释,App.vue 特判,前端 $bus 订阅者处理,JSON 解析失败路径见 App.vue,网络/下载 UI,stable,apps/web-frontend/src/App.vue（QT_Return 前缀分支）,$bus WiFiSaveResult,按 '|' split（不是 ':'）：段0=WiFiSaveResult；段1=action；段2=result；段3+=detail。,action/result/detail：保存热点配置的操作结果与详情文本。,high,高风险：载荷含 JSON 或与 ':' 冲突，必须先走特判分支。
